"DRUPAL_NODE","TITLE","DATASTORE_URL","DDATE","CATEGORIES","LONGDESC","GEOGRAPHY","EXTENT","AUTHOR_NAME","MAINTAINER","MAINTAINER_EMAIL","UPDATE_FREQUENCY","DATE_RANGE","RELEASE_DATE","METADATA_UPDATE","LICENSE_SUMMARY","URL","DOWNLOAD_URL","EXCEL_URL","CSV_URL","XML_URL","GOOGLEDOCS_URL","JSON_URL","SHP_URL","KML_URL","TAB_URL","APPS_USING_THIS_DATA","TAGS","apps_using_this_data_urls","license_details","spatial_ref"
"863","Theft Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/theft-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of all theft incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>The types of property that are relevant to this data set are: Theft of a pedal cycle, Theft of a vehicle, theft of personal property and theft of business property.</p>\
<p>Please note: Robbery incidents are not included in this data set. They can be found in Datastore under BTP Robbery incidents. Robbery incidents involve the theft of property using tactics of confrontation and intimidation. Robbery is much less frequent than normal theft.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-thefts-borough.csv","","","","","","","","btp, btp, crime, gla, lass, theft","","",""
"864","Stone Throwing Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/stone-throwing-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of stone throwing incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-stone-throwing-borough.csv","","","","","","","","btp, btp, crime, gla, incidents, lass","","",""
"865","Robbery Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/robbery-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of robbery incidents recorded by British Transport Police, per month, per borough in London&nbsp;for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs. Robbery incidents involve the theft of property using tactics of confrontation and intimidation. Robbery is much less frequent than normal theft (a separate data set available through the Datastore), which is usually undertaken in a deceptive way to avoid confrontation (eg pick pocketing).</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-robbery-borough.csv","","","","","","","","btp, btp, crime, gla, incidents, lass, robbery","","",""
"866","Racially Aggravated Assault Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/racially-aggravated-assault-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of incidents of racially aggravated assault recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs. See the BTP violence data set on datastore for all types of violent incidents recorded by BTP.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2010","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-assault-racial-borough.csv","","","","","","","","assaults, btp, btp, crime, ethnicity, gla, lass","","",""
"867","Personal Property Theft Incidents recorded by British Transport Police","http://data.london.gov.uk/datastore/package/personal-property-theft-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of all theft of personal property incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs. See the BTP 'All incidents of theft' data set on datastore for all types of theft incidents recorded by BTP.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-theft-personal-borough.csv","","","","","","","","btp, crime, gla, lass, theft","","",""
"868","Pedal Cycle Theft Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/pedal-cycle-theft-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of all theft of pedal cycle incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs. See the BTP 'All incidents of theft' data set on datastore for all types of theft incidents recorded by BTP.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-theft-pedal-cycle-borough.csv","","","","","","","","bicycle, btp, crime, gla, lass, theft","","",""
"869","Graffiti Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/graffiti-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of Graffiti recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-graffiti-borough.csv","","","","","","","","btp, btp, crime, gla, graffiti, lass","","",""
"870","Fire Brigade Call Outs to Malicious False Alarms","http://data.london.gov.uk/datastore/package/fire-brigade-call-outs-malicious-false-alarms","NOVEMBER 2010","Crime and Community Safety","<p>Count of call outs to malicious false alarms recorded by the London Fire &amp; Emergency Planning Authority, per month, per ward in London for a rolling two year period.</p>\
<p>The London Analysts Support site team (LASS) have developed this dataset in consultation with LFEPA to make it fit for crime analysis purposes.</p>\
<p>Please note: The primary purpose of LFEPA is to make London safer and save lives. The data provided here is an extract of LFEPA data which is recorded to monitor their performance to this end.&nbsp; The LASS team work with LFEPA to extract data for crime analysis and statistical purposes with the aim of causing minimum disruption to frontline services.</p>\
<p>It should be considered that the precision of the crime related information, in the above said process, is of secondary consideration to the need to record accurate information about the nature of the impact on service provision, therefore the accuracy of the data may have minor variations over time and in different areas of London.</p>\
<p>LASS work closely with the LFEPA to ensure that there is no significant impact on the quality of information for crime related purposes.&nbsp; Crime analysts use this data to scan for issues, patterns and trends in hoax calls in London.</p>\
<p>We will be updating the metadata and providing more information in due course. Please contact the LASS team if you have queries or comments.</p>","Ward","Greater London","London Fire and Emergency Planning Authority (LFEPA)","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/fires-false-alarms-ward.csv","","","","","","","","arson, crime, fire, gla, lass, lfepa, wards","","",""
"871","Drunken Behaviour Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/drunken-behaviour-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of drunken behaviour incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs. It should also be considered that other types of incidents recorded by BTP may involve drunken behaviour but may be recorded as another type of incident (such as Violence etc) as drunken behaviour may not be the primary concern of the incident.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-drunken-behaviour-borough.csv","","","","","","","","btp, btp, crime, drinking, gla, lass","","",""
"872","Deliberate Fire Incidents Involving a Road Vehicle","http://data.london.gov.uk/datastore/package/deliberate-fire-incidents-involving-road-vehicle","NOVEMBER 2010","Crime and Community Safety","<p>Count of all deliberate fire incidents involving a road vehicle recorded by the London Fire &amp; Emergency Planning Authority, per month, per ward in London for a rolling two year period.</p>\
<p>The London Analysts Support site team (LASS) have developed this dataset in consultation with LFEPA to make it fit for crime analysis purposes. Please note: The primary purpose of LFEPA is to make London safer and save lives. The data provided here is an extract of LFEPA data which is recorded to monitor their performance to this end.&nbsp; The LASS team work with LFEPA to extract data for crime analysis and statistical purposes with the aim of causing minimum disruption to frontline services.</p>\
<p>It should be considered that the precision of the crime related information, in the above said process, is of secondary consideration to the need to record accurate information about the nature of the fire, therefore the accuracy of the data may have minor variations over time and in different areas of London.</p>\
<p>LASS work closely with the LFEPA to ensure that there is no significant impact on the quality of information for crime related purposes.&nbsp; Crime analysts use this data to scan for issues, patterns and trends in deliberate fires in road vehicles in London. They compare and contrast with traditional sources of intelligence such as recorded crime data from the police. Recently this data set has been used by in the Mayors meetings with the police to identify deliberate fire 'hotspots'.</p>\
<p>We will be updating the metadata and providing more information in due course. Please contact the LASS team if you have queries or comments.</p>","Ward","Greater London","London Fire and Emergency Planning Authority (LFEPA)","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/fires-deliberate-road-vehicle-ward.csv","","","","","","","","arson, crime, fire, gla, lass, lfepa, wards","","",""
"873","Deliberate Fire in a Dwelling Incidents","http://data.london.gov.uk/datastore/package/deliberate-fire-dwelling-incidents","NOVEMBER 2010","Crime and Community Safety","<p>Count of all deliberate fire in a dwelling incidents recorded by the London Fire &amp; Emergency Planning Authority, per month, per ward in London for a rolling two year period.</p>\
<p>The London Analysts Support site team (LASS) have developed this dataset in consultation with LFEPA to make it fit for crime analysis purposes. Please note: The primary purpose of LFEPA is to make London safer and save lives. The data provided here is an extract of LFEPA data which is recorded to monitor their performance to this end.&nbsp; The LASS team work with LFEPA to extract data for crime analysis and statistical purposes with the aim of causing minimum disruption to frontline services.</p>\
<p>It should be considered that the precision of the crime related information, in the above said process, is of secondary consideration to the need to record accurate information about the nature of the fire, therefore the accuracy of the data may have minor variations over time and in different areas of London.</p>\
<p>LASS work closely with the LFEPA to ensure that there is no significant impact on the quality of information for crime related purposes.&nbsp; Crime analysts use this data to scan for issues, patterns and trends in deliberate fires in residential dwellings in London. They compare and contrast with traditional sources of intelligence such as recorded crime data from the police. Recently this data set has been used by in the Mayors meetings with the police to identify deliberate fire 'hotspots'.</p>\
<p>We will be updating the metadata and providing more information in due course. Please contact the LASS team if you have queries or comments.</p>","Ward","Greater London","London Fire and Emergency Planning Authority (LFEPA)","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/fires-deliberate-dwelling-ward.csv","","","","","","","Arson Incidents in Islington","arson, crime, fire, gla, lass, lfepa, wards","http://data.london.gov.uk/datastore/applications/arson-incidents-islington","",""
"874","Cannabis Possession Incidents recorded by British Transport Police","http://data.london.gov.uk/datastore/package/cannabis-possession-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of cannabis possession incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-possession-cannabis-borough.csv","","","","","","","","btp, crime, drugs, gla, lass, possession","","",""
"875","Begging Incidents Recorded by British Transport Police","http://data.london.gov.uk/datastore/package/begging-incidents-recorded-british-transport-police","NOVEMBER 2010","Crime and Community Safety, transport","<p>Count of begging incidents recorded by British Transport Police, per month, per borough in London for a rolling two year period.</p>\
<p>BTP are responsible for all the stations, tracks, depots, offices and other types of property that form the tube and National Rail network. Hence, the data the BTP record, about incidents of crime and disorder, tells us much about emerging patterns and trends in London from a tube/rail users perspective.</p>\
<p>Following are some caveats for interpreting this data: Incidents are recorded as occurring in the borough where the incident was reported. Often incidents occur in transit and victims can sometimes be unsure as to the exact location that the incident took place. This naturally affects the accuracy of the data. It should also be considered that some boroughs host more passenger journeys (and stations) than others. This will mean that the level of incidence seen in BTP data will be skewed toward those boroughs.</p>","Local Authority","Greater London","British Transport Police","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/btp-begging-borough.csv","","","","","","","","begging, btp, crime, gla, lass","","",""
"876","Commercial and Industrial Floorspace","http://data.london.gov.uk/datastore/package/commercial-and-industrial-floorspace","FEBRUARY 2010","Business and Economy","<p>Breakdown of commercial and industrial stock including count, floorspace and rateable value. Rateable Value Statistics for Commercial and Industrial Floorspace by Local Authority.</p>\
<p>Data comes from the Valuation Office Agency (VOA)</p>\
<p>Average rateable value - £/m2</p>\
<p>Total Rateable value - £'000s</p>\
<p>Total Floorspace - 000s m2</p>\
<p>Hereditaments - Number</p>","Local Authority","Greater London","Communities and Local Government","","","","1998-2008","March 2009","10/09/2010","Crown Copyright","http://www.communities.gov.uk/documents/planningandbuilding/pdf/971551.pdf","http://www.communities.gov.uk/archived/publications/planningandbuilding/ageindustrialstock","http://data.london.gov.uk/datafiles/business-economy/commercial-industrial-floorspace-borough.xls","http://data.london.gov.uk/datafiles/business-economy/commercial-industrial-floorspace-borough.csv","","","","","","","","age, clg, commercial, floorspace, industrial, rateable, stock","","",""
"878","Use of public libraries, Visits to museums and galleries, and Engagement in the arts","http://data.london.gov.uk/datastore/package/use-public-libraries-visits-museums-and-galleries-and-engagement-arts","FEBRUARY 2010","Art and Culture","<p>Use of public libraries, Visits to museums and galleries and Engagement in the arts.</p>\
<p>This workbook contains baselines for NI9, 10 and 11 for all upper-tier local authorities. Percentage is weighted. This is the best estimate of adult usage/participation in the local authority, and forms the baseline against which progress will be measured. All survey data contain a margin of error; this is also known as the confidence interval, which is presented as a range around an estimate. For this report the range has been calculated using a 95% confidence interval, which means there is a 95% probability the true percentage lies in the range given. The best estimate available is the mid-point. Assuming a normal distribution, the actual figure is most likely to be around the mid-point but it could be at either end of the range.</p>\
<p>A number of factors will affect the level of change required in order for the survey to register a statistically significant change. One of these is the number of interviews conducted – the greater the size the more sensitive it is to detecting change. Another factor is the baseline percentage, with those nearer to 50 per cent requiring more change to occur. The ‘minimum detectable change’ takes these factors into account to indicate the minimum percentage point change required between the baseline estimate and the final estimate to record a statistically significant&nbsp; increase in usage/participation. This calculation assumes that the number of interviews conducted in the assessment year is not less than in the baseline year.&nbsp;&nbsp;&nbsp; <br /><br />Libaries (used for NI9) measures the percentage of adults in a LA who have used a public library service in the past 12 months. Use is for leisure purposes, including informal learning and studying or research for personal interests.</p>\
<p>Museums and Galleries (used for NI10) measures the percentage of adults in a LA who have visited a museum or gallery in the past 12 months. Visits are for leisure purposes, including informal learning and studying or research for personal interests. Online access to collections and outreach services are not counted.<br /><br />Arts (used for NI11) measures the percentage of adults in a LA who have either attended an arts event or participated in an arts activity at least three times in the past 12 months. Engagement must be for leisure purposes.</p>","Local Authority","Greater London","Department for Culture, Media and Sport","","","Bi-annually","1/4/08 to 31/3/09","01/06/2009","09/09/2010","Crown Copyright","http://www.culture.gov.uk/reference_library/publications/6234.aspx","http://www.culture.gov.uk/reference_library/research_and_statistics/6230.aspx","http://data.london.gov.uk/datafiles/art-culture/library-museum-art-participation-borough.xls","http://data.london.gov.uk/datafiles/art-culture/library-museum-art-participation-borough.csv","","","","","","","","active, art, culture, dcms, galleries, libraries, museums, survey","","",""
"879","Sports Participation Rates","http://data.london.gov.uk/datastore/package/sports-participation-rates","FEBRUARY 2010","Health, health, Sport","<p>Percentage of the adult population participating in sports taken from Sport England Active People Survey.</p>\
<p>Participation is Defined as 3 sessions a week (at least 12 sessions of at least moderate intensity for at least 30 minutes in the previous 28 days)</p>","Local Authority","Greater London","Sport England","","","Annual","2005/06 to 2008/09","","10/09/2010","Crown Copyright","","http://www.sportengland.org/research/active_people_survey/active_people_survey_3.aspx?sortBy=alpha&pageNum=2","","","","","","","","","","active, exercise, participation, sport-england, sports","","",""
"880","Sports Clubs Membership Rates","http://data.london.gov.uk/datastore/package/sports-clubs-membership-rates","JANUARY 2010","Health, health, Sport","<p>Percentage of the adult population being members of sports clubs with the intention of participating in sport.<br /><br />Club membership is defined as 'being a member of a club particularly so that you can participate in sport or recreational activity in the last 4 weeks'.</p>","Local Authority","Greater London","Sport England","","","Annual","2005/06 to 2008/09","","10/09/2010","Crown Copyright","","http://www.sportengland.org/research/active_people_survey/active_people_survey_3.aspx?sortBy=alpha&pageNum=2","","","","","","","","","","active, clubs, exercise, participation, sport-england, sports","","",""
"881","Registered Social Landlords Average Rents","http://data.london.gov.uk/datastore/package/registered-social-landlords-average-rents","FEBRUARY 2010","Housing","<p>Amount charged by Registered Social Landlords for social housing.<br />Data is collected by the Housing Corporation via the annual Regulatory and Statistical Return (RSR) based on general needs stock only.</p>\
<p>Figures are based on only the larger Registered Social Landlords (RSLs) completing the long form. Upto 2006 the threshold for completing the long form was that the RSL owned/ managed at least 250 units/bedspaces. From 2007 this increased to 1,000 units/bedspaces.</p>\
<p>The districts, unitary authorities and counties listed above are based on 1 April 1998 boundaries. Figures for any 'new' re-organised areas have been estimated retrospectively applying the new boundaries back to 1997 and making appropriate assumptions.</p>\
<p>Note that the average RSL rents within a local authority area can move down from one year to the next. This is especially true if, during the latest year, most of the LA stock has been transferred through a large-scale voluntary transfer to the RSL sector.</p>","Local Authority","Greater London","Communities and Local Government","","","Annual","1997 to 2010","01/06/2010","11/11/2010","Crown Copyright","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/rentslettings/livetables/","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/rentslettings/overviewrents/","http://data.london.gov.uk/datafiles/housing/social-landlord-rents-borough.xls","http://data.london.gov.uk/datafiles/housing/social-landlord-rents-borough.csv","","","","","","","Focus on London - Income and Spending at Home","clg, council, house prices, rent, social housing","http://data.london.gov.uk/datastore/applications/focus-london-income-and-spending-home","",""
"882","Registered Social Landlord Housing Stock","http://data.london.gov.uk/datastore/package/registered-social-landlord-housing-stock","FEBRUARY 2010","Housing","<p>Number of Registered Social Landlord dwellings.</p>\
<p>Note: from 2002 the figures in this table are not comparable to those in the main dwelling stock table because the stock figures from 2002 in this table include social rent bedspaces as well as social rent self-contained units; the main dwelling stock tables are based on self-contained units only. Data based on data collected by the Housing Corporation via the annual Regulatory and Statistical Return (RSR) and presents stock for general needs social housing rental stock and for supported housing and/or housing for older people housing stock.</p>\
<p>Note that stock figures from 1997 to 2001 are based on counts of self-contained units only. From 2002 the stock figures include self-contained units and bedspaces.&nbsp; From 2005 there was some general needs stock was reclassified as supported stock.&nbsp; This may have resulted in some of the older person stock being counted as bed spaces rather than self contained units.</p>\
<p>The districts, unitary authorities and counties listed above are based on 1 April 1998 boundaries. Figures for any ""new"" re-organised areas have been estimated retrospectively applying the new boundaries back to 1997, making appropriate assumptions for any county re-organisation which involved cutting across districts.</p>\
<p>Numbers can increase dramatically from&nbsp; one year to another as a result of Large Scale Voluntary Transfers from local authority stock.&nbsp; Decreases are usually the result of sales or demolitions.</p>","Local Authority","Greater London","Communities and Local Government","","","Annual","1998 to 2008","01/11/2008","10/09/2010","Crown Copyright","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/stockincludingvacants/livetables/","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/stockincludingvacants/overviewstock/","","http://data.london.gov.uk/datafiles/housing/social-landlord-housing-stock-borough.csv","","","","","","","","clg, dwellings, landlords, social housing, stock, tenure","","",""
"883","Local Authority Housing Stock","http://data.london.gov.uk/datastore/package/local-authority-housing-stock","FEBRUARY 2010","Housing","<p>Number of Local Authority dwellings.</p>\
<p>Figures in this table are unaudited by local authorities. Data before 2003/04 are more prone to errors as they were validated less rigorously. Where a local authority has become a Large Scale Voluntary Transfer (LSVT) authority it's stock would reduce to zero or a small number.</p>\
<p>The districts, unitary authorities and counties listed above are based on 1 April 1998 boundaries. Values related to any old local authorities which had gone through a boundary change have been redistributed to the relevant new local authority by proportioning based on the number of households falling within the new districts at the time.</p>\
<p>Data for each year are from the year in which they were reported. For example, 2007/08 data is from HSSA 2007/08 returns.</p>","Local Authority","Greater London","Communities and Local Government","","","Annual","1997 to 2008","01/11/2009","10/09/2010","Crown Copyright","http://www.communities.gov.uk/documents/housing/xls/140882.xls","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/stockincludingvacants/overviewstock/","","http://data.london.gov.uk/datafiles/housing/local-authority-housing-stock-borough.csv","","","","","","","","clg, council, dwellings, social housing, stock, tenure","","",""
"884","Local Authority Average Rents","http://data.london.gov.uk/datastore/package/local-authority-average-rents","FEBRUARY 2010","Housing","<p>Amount charged weekly Local Authorities for social housing.<br />Rents data are based on the financial year.</p>\
<p>Stock figures used to estimate the average for each county, region and the nation are taken at 1st April of the following financial year. Average rents data between 2003/04 and 2007/08 inclusively is based on total stock figures from Housing Revenue Account (HRA) audited base claim form. Before 2003/04 the average rents data is based on total stock figures from the Housing Revenue Account (HRA) second subsidy claim form.</p>\
<p>Rents data for 2008/09 are based on total stock figures as at the beginning of the financial year. This data is taken from the HRA subsidy base data form. Average rent data for this year are provisional and will be updated when stock data at the start of the following financial year become available.</p>\
<p>For a few authorities no rent figure is given because the stock is now very small and the authority no longer reports average rents. For some local authorities the average rent for 2003/04 is lower than in 2002/03. This may be due to some local authorities supplying net rents excluding service charges from 2003/04 onwards. Prior to 2003/04 some of them may have been including service charges in their rent figures. Average rent figures do not account for stock composition.</p>\
<p>'LSVT': all or most of the local authority stock has been transferred to the RSL sector, so the average rent is no longer applicable. LSVTs are not taken into account when calculating county, regional or national averages. MYT (Mid-Year Transfer) refers to those authorities that have transferred their stock in full, part way through the financial year.</p>\
<p>Where a local authority has transferred part of it's stock mid-year, the stock figure used to estimate averages is taken as at 1st April the following financial year. MYT information is provided from 2003/04 onwards only. Prior to 2003/04 average rents figures may be based on stock figures at the start of the financial year prior to any mid-year transfer.</p>\
<p>The districts, unitary authorities and counties listed above are based on 1 April 1998 boundaries. Figures for any 'new' re-organised areas have been estimated retrospectively applying the new boundaries back to 1996.&nbsp; Average rents data for 2003/04 and onwards are based on a standardised 52 week collection. Data prior to 2003/04 may have been reported on various different collection scales. Average rent is calculated from stock-owning local authorities that have provided data.</p>","Local Authority","Greater London","Communities and Local Government","","","Annual","1997 to 2009","01/05/2009","11/11/2010","Crown Copyright","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/rentslettings/livetables/","http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/rentslettings/overviewrents/","http://data.london.gov.uk/datafiles/housing/local-authority-rents-borough.xls","http://data.london.gov.uk/datafiles/housing/local-authority-rents-borough.csv","","","","","","","Focus on London - Income and Spending at Home","clg, council, house prices, rent, social housing","http://data.london.gov.uk/datastore/applications/focus-london-income-and-spending-home","",""
